商品名稱,留言網址,留言者,星等,留言時間,留言地點,SKU,留言內容,覺得留言有用人數
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mindy O,2.0,2020-07-06,美國,,"
Washed it one time and it came apart at the seem
",1
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Erin from Michigan,5.0,2024-04-09,美國,顏色: 00-black尺寸: Large,"
The material is absolutely great! The fit is dead on and the length is exactly where I like it falling a bit below my hips. The extra touch of the shirt, which makes it superior to others, is the small gathering on both sides which is super attractive and flattering.
",0
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abby,5.0,2020-06-11,美國,顏色: 00-black尺寸: Medium,"
ALRIGHT I don’t usually review my purchases but I had to for this one. I have never bought amazon clothing until now. THESE tank tops are absolutely amazing and I was expecting something awful. Not going to lie. They are so soft and SO flattering. I have a curvy figure with small waist but that unwanted area of gross pudge buildup on my lower abdomen/tummy just makes wearing fitted tank tops a burden and I hate how I look. For reference I am 5 ft 5 inches and currently weight 176 lbs. I wear a size 36D for bras, usually M/L shirts and typically jeans are anywhere from 8-12 in size depending on brand and whether or not I’m having a good day haha. I got these tank tops in a medium and I’m so happy. They’re not too fitted but not too loose to where I look like I’m fatter than I am with how the shirt hangs on me. The ruching on the sides is SO flattering and makes the top versatile as casual wear to something you can dress up for a night out. I recommend 100%
",231
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mary,4.0,2024-03-23,美國,顏色: 02-lake Green尺寸: Medium,"
The fabric is very soft. Flattering style. However I will be returning and purchasing this top in a sz Lg. Reading the other reviews saying they ran ""big"" - well they don't - I mistakenly ordered a medium, so purchase your true size. And if you do order a lighter colored top, know they are a tad see thru. Reference: I'm 5'3"" 150lbs.
",0
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LINA,5.0,2020-07-22,美國,顏色: 01-navy Blue尺寸: X-Large,"
I ordered the royal blue color but it looks a bit more blue/purple.. I wasn't excited about that but then I tried it on. I am 5'5"", 175, 36DD and I ordered an XL. I definitely could have went with a large. The shirt is not super thin but not heavy at all. The fit is very flattering but a bit long. I tucked the front into my jeans and it was perfect length. It can be worn casual with shorts but I like it dressed up with some jeans and heels. Not a fan of this color but love the fit, I will be ordering in black. Its going to be a staple in my closet.
",36
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Allyn,3.0,2021-05-28,美國,,"
Fits as expected. Overall I like this item however the color is off. I ordered the burgundy and loved the color in the photo in reality it’s a rust color which is the color I really don’t like. Maybe you do though!I also purchased this product in the The navy blue with Daisies. I thought the photo looks classy and this would be more of a sophisticated tank top that could be worn out to dinner etc. it’s definitely just a tank top for casual casual wear. Not to be paired with the skirt or try to dress it up. And again the color is off. It is not navy blue Or dark blue it’s just a medium denim blue the Daisy pattern is different as well and looks more like an older woman or grandmother would wear. Not what I expected expected.That said the materials good quality and the fit is really good.
",3
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Julie Semega,5.0,2023-04-10,美國,,"
I've been looking for a tank this color to go under a plaid button down.  Perfect match!  I bought a size large based on reviews but if I purchase more, I will size down.  It's a bit longer that I expected, but I am only 5'2"".Will probably purchase again.
",4
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,stephanie p,5.0,2024-01-31,美國,顏色: 00-white尺寸: Large,"
Love the fabric and the rouched sides
",0
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Judy C,4.0,2024-03-12,美國,顏色: 05-floral Green尺寸: XX-Large,"
I originally ordered this in an XL, but it wasn't as loose around the waist as I needed it to be.  I do have a tummy so it may look better on others.  I did order the 2 xl to see if that would work, but it's way TOO big. I guess in this one i'm an XL 1/2, lol.  I will keep it and wear it around the house because I do love the print and style!
",0
Jescakoo 女款 V 領背心 休閒 無袖 襯衫 寬鬆版型 夏季,https://www.amazon.com/-/zh_TW/Jescakoo-%E5%A5%B3%E6%AC%BE-%E9%A0%98%E8%83%8C%E5%BF%83-%E5%AF%AC%E9%AC%86%E7%89%88%E5%9E%8B-05-%E8%93%AE%E8%8A%B1/product-reviews/B07T5KGGR3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jimp,4.0,2024-03-19,美國,顏色: 05-lotus尺寸: X-Large,"
Very pretty top. I love the shade of bright pink. This will be perfect for my Luau party!
",0
